country,year,month,events,fatalities
South Africa,2015,12,17,16
South Africa,2016,1,18,7
South Africa,2016,2,15,14
South Africa,2016,3,22,12
South Africa,2016,4,19,10
South Africa,2016,5,14,7
South Africa,2016,6,22,13
South Africa,2016,7,11,9
South Africa,2016,8,13,8
South Africa,2016,9,7,1
South Africa,2016,10,5,7
South Africa,2016,11,10,5
South Africa,2016,12,13,12
South Africa,2017,1,8,12
South Africa,2017,2,14,6
South Africa,2017,3,8,6
South Africa,2017,4,8,8
South Africa,2017,5,11,5
South Africa,2017,6,7,2
South Africa,2017,7,13,15
South Africa,2017,8,13,9
South Africa,2017,9,7,9
South Africa,2017,10,11,8
South Africa,2017,11,12,9
South Africa,2017,12,3,2
South Africa,2018,1,15,6
South Africa,2018,2,3,3
South Africa,2018,3,9,6
South Africa,2018,4,9,12
South Africa,2018,5,11,9
South Africa,2018,6,6,6
South Africa,2018,7,15,17
South Africa,2018,8,14,11
South Africa,2018,9,7,5
South Africa,2018,10,11,8
South Africa,2018,11,5,2
South Africa,2018,12,8,14
South Africa,2019,1,17,21
South Africa,2019,2,14,16
South Africa,2019,3,14,7
South Africa,2019,4,11,7
South Africa,2019,5,12,16
South Africa,2019,6,12,5
South Africa,2019,7,20,19
South Africa,2019,8,27,21
South Africa,2019,9,20,17
South Africa,2019,10,12,9
South Africa,2019,11,16,11
South Africa,2019,12,14,21
South Africa,2020,1,13,14
South Africa,2020,2,11,10
South Africa,2020,3,19,11
South Africa,2020,4,24,17
South Africa,2020,5,16,12
South Africa,2020,6,16,11
South Africa,2020,7,17,19
South Africa,2020,8,17,20
South Africa,2020,9,19,18
South Africa,2020,10,21,12
South Africa,2020,11,15,6
South Africa,2020,12,15,11
South Africa,2021,1,20,14
South Africa,2021,2,24,25
South Africa,2021,3,22,16
South Africa,2021,4,28,31
South Africa,2021,5,21,25
South Africa,2021,6,19,9
South Africa,2021,7,25,21
South Africa,2021,8,24,19
South Africa,2021,9,19,26
South Africa,2021,10,28,22
South Africa,2021,11,34,27
South Africa,2021,12,18,16
South Africa,2022,1,27,26
South Africa,2022,2,36,32
South Africa,2022,3,22,13
South Africa,2022,4,31,24
South Africa,2022,5,28,14
South Africa,2022,6,41,35
South Africa,2022,7,37,27
South Africa,2022,8,28,23
South Africa,2022,9,40,29
South Africa,2022,10,25,19
South Africa,2022,11,27,15
South Africa,2022,12,18,12
South Africa,2023,1,33,25
South Africa,2023,2,39,29
South Africa,2023,3,20,13
South Africa,2023,4,29,28
South Africa,2023,5,22,16
South Africa,2023,6,27,27
South Africa,2023,7,35,23
South Africa,2023,8,36,33
South Africa,2023,9,33,19
South Africa,2023,10,25,23
South Africa,2023,11,35,27
South Africa,2023,12,25,32
South Africa,2024,1,40,53
South Africa,2024,2,41,29
South Africa,2024,3,27,19
South Africa,2024,4,26,21
South Africa,2024,5,19,11
South Africa,2024,6,31,18
South Africa,2024,7,36,26
South Africa,2024,8,36,25
South Africa,2024,9,33,18
South Africa,2024,10,30,16
South Africa,2024,11,23,21
South Africa,2024,12,19,18
South Africa,2025,1,19,20
South Africa,2025,2,22,19
South Africa,2025,3,11,7
South Africa,2025,4,12,10
South Africa,2025,5,0,0
